SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,Link to Real-time Information,DEC Region,County,Latitude,Longtitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
NY0028410,63,NY0028410-063,Bird Island WWTF,Buffalo Sewer Authority,Black Rock Canal,52,Model,13,Average year,2015,,9,Erie,42.902778,-78.901944,"{'latitude': '42.902778', 'longitude': '-78.901944'}",300,32,2041
NY0026158,8,NY0026158-008,NYCDEP - Bowery Bay WPCP,NYC DEP,Flushing Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.762469,-73.859005,"{'latitude': '40.762469', 'longitude': '-73.859005'}",196,,2137
NY0023981,1,NY0023981-001,Village of Johnson City CSO,Village of Johnson City,Susquehanna River,2,Monitoring,16,2013,2015,,7,Broome,42.1175,-75.96167,"{'latitude': '42.1175', 'longitude': '-75.96167'}",938,429,2033
NY0026191,33,NY0026191-033,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.827985,-73.842681,"{'latitude': '40.827985', 'longitude': '-73.842681'}",307,710,2032
NY0029831,17,NY0029831-017,Ogdensburg WWTP,City of Ogdensburg,Oswegatchie River,16,Observation,0,2013,2015,,6,St. Lawrence,44.695556,-75.495833,"{'latitude': '44.695556', 'longitude': '-75.495833'}",318,1591,2140
NY0026247,40,NY0026247-040,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.797027,-73.977286,"{'latitude': '40.797027', 'longitude': '-73.977286'}",749,751,2095
NY0026131,54,NY0026131-054,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.897462,-73.916723,"{'latitude': '40.897462', 'longitude': '-73.916723'}",307,708,2032
NY0026026,7,NY0026026-007,Rensselaer CSO,City of Rensselaer,Hudson River,8,Model,42,5 year average,2015,,4,Rensselaer,42.656111,-73.738611,"{'latitude': '42.656111', 'longitude': '-73.738611'}",115,1309,2030
NY0026310,5,NY0026310-005,Newburgh WPCP,City of Newburgh,Hudson River,13,Monitoring,0,2013,2015,,3,Orange,41.50528,-74.00472,"{'latitude': '41.50528', 'longitude': '-74.00472'}",891,987,2134
NY0183695,10,NY0183695-010,Washington County S.D. 2 STP,Washington County,Hudson River,11,Model,8,5 year average,2015,,5,Washington,43.269167,-73.596389,"{'latitude': '43.269167', 'longitude': '-73.596389'}",726,92,2141
NY0026204,33,NY0026204-033,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.756956,-73.95986,"{'latitude': '40.756956', 'longitude': '-73.95986'}",749,,2095
NY0027081,083 (PSO),NY0027081-083 (PSO),Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,North Branch Ley Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.095833,-76.095278,"{'latitude': '43.095833', 'longitude': '-76.095278'}",702,729,2132
NY0027073,5,NY0027073-005,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.705778,-73.982364,"{'latitude': '40.705778', 'longitude': '-73.982364'}",749,,2095
NY0031429,110,NY0031429-110,Utica CSO,City of Utica,Nail Creek,47,Observation,6,May 2008 - April 2009,2015,,6,Oneida,43.093056,-75.247778,"{'latitude': '43.093056', 'longitude': '-75.247778'}",984,1464,625
NY0027081,14,NY0027081-014,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Harbor Brook,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.04,-76.174722,"{'latitude': '43.04', 'longitude': '-76.174722'}",687,713,2132
NY0183695,2,NY0183695-002,Washington County S.D. 2 STP,Washington County,Hudson River,11,Monitoring,26,2013,2015,,5,Washington,43.263889,-73.583333,"{'latitude': '43.263889', 'longitude': '-73.583333'}",726,92,2184
NY0027057,14,NY0027057-014,Lockport WWTP,City of Lockport,Barge Canal,12,Observation,No Data,No Data,2015,,9,Niagara,43.158333,-78.7075,"{'latitude': '43.158333', 'longitude': '-78.7075'}",163,930,2131
NY0024406,6,NY0024406-006,Binghamton CSO,City of Binghamton,Susquehanna River,9,Monitoring,0,2013,2015,,7,Broome,42.091667,-75.915556,"{'latitude': '42.091667', 'longitude': '-75.915556'}",968,477,2033
NY0026018,25,NY0026018-025,Plattsburgh WPCP,City of Plattsburgh,Saranac River,11,Model,3,5 year average,2015,,5,Clinton,44.698056,-73.451389,"{'latitude': '44.698056', 'longitude': '-73.451389'}",4,202,2038
NY0027081,28,NY0027081-028,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.048056,-76.1575,"{'latitude': '43.048056', 'longitude': '-76.1575'}",687,711,2132
NY0026191,23,NY0026191-023,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.880442,-73.821426,"{'latitude': '40.880442', 'longitude': '-73.821426'}",307,746,2032
NY0026182,1,NY0026182-001,NYCDEP - Coney Island WPCP,NYC DEP,ROCKAWAY INLET,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.566119,-73.930802,"{'latitude': '40.566119', 'longitude': '-73.930802'}",196,,2137
NY0030899,5,NY0030899-005,Watervliet CSO,City of Watervliet,Hudson River,5,Model,1.2,5 year average,2015,,4,Albany,42.739444,-73.697778,"{'latitude': '42.739444', 'longitude': '-73.697778'}",834,19,2030
NY0026158,37,NY0026158-037,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.786129,-73.915523,"{'latitude': '40.786129', 'longitude': '-73.915523'}",196,877,2137
NY0026310,3,NY0026310-003,Newburgh WPCP,City of Newburgh,Hudson River,13,Monitoring,39,2013,2015,,3,Orange,41.493889,-74.006389,"{'latitude': '41.493889', 'longitude': '-74.006389'}",891,987,2134
NY0031046,3,NY0031046-003,Cohoes CSO,City of Cohoes,Mohawk River,16,Model,35,5 year average,2015,,4,Albany,42.767778,-73.694444,"{'latitude': '42.767778', 'longitude': '-73.694444'}",835,1176,2030
NY0026158,24,NY0026158-024,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.75381,-73.952033,"{'latitude': '40.75381', 'longitude': '-73.952033'}",196,873,2095
NY0026191,36,NY0026191-036,NYCDEP - Hunt's Point WPCP,NYC DEP,Long Island Sound,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.845723,-73.782604,"{'latitude': '40.845723', 'longitude': '-73.782604'}",307,677,
NY0031429,49,NY0031429-049,Utica CSO,City of Utica,Nail Creek,47,Monitoring,12,May 2008 - April 2009,2015,,6,Oneida,43.100278,-75.25,"{'latitude': '43.100278', 'longitude': '-75.25'}",984,1465,625
NY0025747,12,NY0025747-012,Albany CSO,Albany Water Board,Krum Kill,12,Model,2,5 year average,2015,,4,Albany,42.663333,-73.826389,"{'latitude': '42.663333', 'longitude': '-73.826389'}",814,45,2030
NY0021903,001A,NY0021903-001A,Auburn STP,City of Auburn,Owasco Street,16,Monitoring,10,2013,2015,,7,Cayuga,42.9425,-76.596111,"{'latitude': '42.9425', 'longitude': '-76.596111'}",86,343,618
NY0028410,59,NY0028410-059,Bird Island WWTF,Buffalo Sewer Authority,Scajaquada Creek,52,Model,0,Average year,2015,,9,Erie,42.930833,-78.894167,"{'latitude': '42.930833', 'longitude': '-78.894167'}",300,63,2041
NY0031429,67,NY0031429-067,Utica CSO,City of Utica,Hallecks Ravine,47,Observation,1,May 2008 - April 2009,2015,,6,Oneida,43.097222,-75.268333,"{'latitude': '43.097222', 'longitude': '-75.268333'}",984,1465,625
NY0024406,9,NY0024406-009,Binghamton CSO,City of Binghamton,Susquehanna River,9,Monitoring,0,2013,2015,,7,Broome,42.093611,-75.904444,"{'latitude': '42.093611', 'longitude': '-75.904444'}",968,477,2033
NY0027073,10,NY0027073-010,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.700068,-73.997232,"{'latitude': '40.700068', 'longitude': '-73.997232'}",894,880,2095
NY0026131,65,NY0026131-065,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.810433,-73.932813,"{'latitude': '40.810433', 'longitude': '-73.932813'}",749,,2095
NY0031429,7,NY0031429-007,Utica CSO,City of Utica,Ballou Creek,47,Monitoring,15,May 2008 - April 2009,2015,,6,Oneida,43.086389,-75.23,"{'latitude': '43.086389', 'longitude': '-75.23'}",984,1464,625
NY0026131,38,NY0026131-038,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.811293,-73.93421,"{'latitude': '40.811293', 'longitude': '-73.93421'}",749,796,2095
NY0026131,25,NY0026131-025,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.793185,-73.932801,"{'latitude': '40.793185', 'longitude': '-73.932801'}",749,756,2095
NY0026131,20,NY0026131-020,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.786454,-73.938789,"{'latitude': '40.786454', 'longitude': '-73.938789'}",749,,2095
NY0026158,1,NY0026158-001,NYCDEP - Bowery Bay WPCP,NYC DEP,Bowery Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.780914,-73.891883,"{'latitude': '40.780914', 'longitude': '-73.891883'}",196,,2137
NY0026221,16,NY0026221-016,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.607128,-73.770034,"{'latitude': '40.607128', 'longitude': '-73.770034'}",196,,2137
NY0026158,14,NY0026158-014,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.739793,-73.954983,"{'latitude': '40.739793', 'longitude': '-73.954983'}",196,873,2137
NY0026204,42,NY0026204-042,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.713685,-73.975568,"{'latitude': '40.713685', 'longitude': '-73.975568'}",749,,2095
NY0026018,11,NY0026018-011,Plattsburgh WPCP,City of Plattsburgh,Saranac River,11,Model,0,5 year average,2015,,5,Clinton,44.697222,-73.451111,"{'latitude': '44.697222', 'longitude': '-73.451111'}",4,202,2038
NY0026247,1,NY0026247-001,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.825413,-73.958386,"{'latitude': '40.825413', 'longitude': '-73.958386'}",749,,2095
NY0021873,008B,NY0021873-008B,Medina WWTP,Village of Medina,Old Orchard Creek,13,Observation,Average of <4 overflows annually,No Data,2015,,8,Orleans,43.219167,-78.383333,"{'latitude': '43.219167', 'longitude': '-78.383333'}",500,934,626
NY0027073,11,NY0027073-011,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.696134,-73.999559,"{'latitude': '40.696134', 'longitude': '-73.999559'}",894,880,2095
NY0028410,29,NY0028410-029,Bird Island WWTF,Buffalo Sewer Authority,Buffalo River,52,Model,0,Average year,2015,,9,Erie,42.860556,-78.832222,"{'latitude': '42.860556', 'longitude': '-78.832222'}",300,66,2041
NY0026239,22,NY0026239-022,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing River,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.756004,-73.838548,"{'latitude': '40.756004', 'longitude': '-73.838548'}",196,838,2137
NY0026689,16,NY0026689-016,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,40.961944,-73.885,"{'latitude': '40.961944', 'longitude': '-73.885'}",948,1442,2185
NY0029831,16,NY0029831-016,Ogdensburg WWTP,City of Ogdensburg,Oswegatchie River,16,Observation,0,2013,2015,,6,St. Lawrence,44.696111,-75.495833,"{'latitude': '44.696111', 'longitude': '-75.495833'}",318,1591,2140
NY0030899,1,NY0030899-001,Watervliet CSO,City of Watervliet,Hudson River,5,Model,5,5 year average,2015,,4,Albany,42.708611,-73.706667,"{'latitude': '42.708611', 'longitude': '-73.706667'}",828,19,2030
NY0026689,15,NY0026689-015,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,40.96,-73.893056,"{'latitude': '40.96', 'longitude': '-73.893056'}",948,1441,2185
NY0020389,2,NY0020389-002,Catskill WWTP,Village of Catskill,Catskill Creek,6,Observation,17,2013,2015,,4,Greene,42.218611,-73.868056,"{'latitude': '42.218611', 'longitude': '-73.868056'}",760,89,2087
NY0099309,32,NY0099309-032,Troy CSO,City of Troy,Hudson River,49,Model,37,5 year average,2015,,4,Rensselaer,42.729167,-73.695833,"{'latitude': '42.729167', 'longitude': '-73.695833'}",110,11,2030
NY0026239,1,NY0026239-001,NYCDEP - Tallmans Island WPCP,NYC DEP,East River (S),22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.797684,-73.840368,"{'latitude': '40.797684', 'longitude': '-73.840368'}",196,,2137
NY0183695,8,NY0183695-008,Washington County S.D. 2 STP,Washington County,Hudson River,11,Model,88,5 year average,2015,,5,Washington,43.304167,-73.589167,"{'latitude': '43.304167', 'longitude': '-73.589167'}",719,101,2184
NY0026247,50,NY0026247-050,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.740715,-74.011131,"{'latitude': '40.740715', 'longitude': '-74.011131'}",749,,2095
NY0026204,19,NY0026204-019,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.714098,-73.923912,"{'latitude': '40.714098', 'longitude': '-73.923912'}",196,847,2090
NY0026107,19,NY0026107-019,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.619366,-74.067102,"{'latitude': '40.619366', 'longitude': '-74.067102'}",585,608,2139
NY0026166,21,NY0026166-021,NYCDEP - Owls Head WPCP,NYC DEP,Gravesend Bay,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.583312,-73.983789,"{'latitude': '40.583312', 'longitude': '-73.983789'}",894,892,2090
NY0027081,61,NY0027081-061,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga  Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.021944,-76.155,"{'latitude': '43.021944', 'longitude': '-76.155'}",687,714,2132
NY0026018,5,NY0026018-005,Plattsburgh WPCP,City of Plattsburgh,Saranac River,11,Model,0,5 year average,2015,,5,Clinton,44.690833,-73.461389,"{'latitude': '44.690833', 'longitude': '-73.461389'}",4,202,2038
NY0026255,5,NY0026255-005,Poughkeepsie WPCP,City of Poughkeepsie,Hudson River,6,Monitoring,0,2013,2015,,3,Dutchess,41.709444,-73.923611,"{'latitude': '41.709444', 'longitude': '-73.923611'}",588,1021,2040
NY0026131,70,NY0026131-070,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.798985,-73.908344,"{'latitude': '40.798985', 'longitude': '-73.908344'}",307,650,2032
NY0027057,23,NY0027057-023,Lockport WWTP,City of Lockport,Eighteenmile Creek,12,Observation,No Data,No Data,2015,,9,Niagara,43.173056,-78.681389,"{'latitude': '43.173056', 'longitude': '-78.681389'}",163,930,2131
NY0026204,82,NY0026204-082,NYCDEP - Newtown Creek WPCP,NYC DEP,East River (E),79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.710164,-73.969607,"{'latitude': '40.710164', 'longitude': '-73.969607'}",749,,2095
NY0026204,57,NY0026204-057,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.717281,-73.974047,"{'latitude': '40.717281', 'longitude': '-73.974047'}",749,,2095
NY0026247,29,NY0026247-029,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.761946,-74.004823,"{'latitude': '40.761946', 'longitude': '-74.004823'}",749,,2095
NY0026131,16,NY0026131-016,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.782025,-73.943803,"{'latitude': '40.782025', 'longitude': '-73.943803'}",749,583,2095
NY0028410,62,NY0028410-062,Bird Island WWTF,Buffalo Sewer Authority,Black Rock Canal,52,Observation,No Data,No Data,2015,,9,Erie,42.915278,-78.901944,"{'latitude': '42.915278', 'longitude': '-78.901944'}",300,69,2041
NY0026204,41,NY0026204-041,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.742616,-73.971889,"{'latitude': '40.742616', 'longitude': '-73.971889'}",749,739,2095
NY0026204,23,NY0026204-023,NYCDEP - Newtown Creek WPCP,NYC DEP,Newtown Creek,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.736892,-73.959978,"{'latitude': '40.736892', 'longitude': '-73.959978'}",894,901,2090
NY0026247,42,NY0026247-042,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.809146,-73.968571,"{'latitude': '40.809146', 'longitude': '-73.968571'}",749,751,2095
NY0027081,65,NY0027081-065,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.055556,-76.160278,"{'latitude': '43.055556', 'longitude': '-76.160278'}",687,713,2132
NY0028339,T001,NY0028339-T001,Frank E. VanLare STP,"Rochester Pure Waters District, Monroe County",Genesse River,6,Observation,No Data,No Data,2015,,8,Monroe,43.170833,-77.623611,"{'latitude': '43.170833', 'longitude': '-77.623611'}",537,1666,2093
NY0026131,58,NY0026131-058,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.855805,-73.920327,"{'latitude': '40.855805', 'longitude': '-73.920327'}",307,649,2095
NY0026247,36,NY0026247-036,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.773957,-73.996092,"{'latitude': '40.773957', 'longitude': '-73.996092'}",749,,2095
NY0099309,40,NY0099309-040,Troy CSO,City of Troy,Hudson River,49,Model,21,5 year average,2015,,4,Rensselaer,42.717778,-73.699444,"{'latitude': '42.717778', 'longitude': '-73.699444'}",110,11,2030
NY0099309,9,NY0099309-009,Troy CSO,City of Troy,Hudson River,49,Model,50,5 year average,2015,,4,Rensselaer,42.7775,-73.678056,"{'latitude': '42.7775', 'longitude': '-73.678056'}",110,12,2138
NY0026239,25,NY0026239-025,NYCDEP - Tallmans Island WPCP,NYC DEP,Alley Creek,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.764147,-73.752829,"{'latitude': '40.764147', 'longitude': '-73.752829'}",196,832,2137
NY0026026,2,NY0026026-002,Rensselaer CSO,City of Rensselaer,Hudson River,8,Model,27,5 year average,2015,,4,Rensselaer,42.633333,-73.750833,"{'latitude': '42.633333', 'longitude': '-73.750833'}",115,1309,2138
NY0027081,27,NY0027081-027,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.048611,-76.157778,"{'latitude': '43.048611', 'longitude': '-76.157778'}",687,711,2132
NY0020389,007A,NY0020389-007A,Catskill WWTP,Village of Catskill,Catskill Creek,6,Observation,12,2013,2015,,4,Greene,42.216944,-73.8675,"{'latitude': '42.216944', 'longitude': '-73.8675'}",760,89,2087
NY0026131,79,NY0026131-079,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.914862,-73.910656,"{'latitude': '40.914862', 'longitude': '-73.910656'}",307,708,2032
NY0026689,29,NY0026689-029,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,41.078333,-73.871389,"{'latitude': '41.078333', 'longitude': '-73.871389'}",974,,2185
NY0027081,79,NY0027081-079,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Harbor Brook,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.052222,-76.176667,"{'latitude': '43.052222', 'longitude': '-76.176667'}",687,713,2132
NY0026204,62,NY0026204-062,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.709434,-73.982954,"{'latitude': '40.709434', 'longitude': '-73.982954'}",749,,2095
NY0028410,53,NY0028410-053,Bird Island WWTF,Buffalo Sewer Authority,Scajaquada Creek,52,Model,65,Average year,2015,,9,Erie,42.923889,-78.857222,"{'latitude': '42.923889', 'longitude': '-78.857222'}",300,64,2041
NY0026221,14,NY0026221-014,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.589406,-73.816636,"{'latitude': '40.589406', 'longitude': '-73.816636'}",196,,2137
NY0026212,5,NY0026212-005,NYCDEP - 26th Ward,NYC DEP,Spring Creek,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.657796,-73.862326,"{'latitude': '40.657796', 'longitude': '-73.862326'}",196,853,2137
NY0029114,3,NY0029114-003,"City of Oswego, East Side STP",City of Oswego,Oswego River,6,Model,No Data,No Data,2015,,7,Oswego,43.453889,-76.507778,"{'latitude': '43.453889', 'longitude': '-76.507778'}",240,667,2135
NY0027081,16,NY0027081-016,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Harbor Brook,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.037778,-76.178611,"{'latitude': '43.037778', 'longitude': '-76.178611'}",687,713,2132
